Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Test_MAPE,Training_Time_sec,CV_Mean_R2,CV_Std_R2,Learning_Curve_Path,Status
CatBoostRegressor,0.9998053784188301,0.9987012549107619,0.14014981765514034,0.36792691310715486,0.10685565946886799,0.24602035177380438,1.1371018551784307,1.257950782775879,0.9664614369831099,0.060074710812293125,/home/bhargav/energy-consumption-new/models/experiments/learning_curves/learning_curve_CatBoostRegressor.png,Success
XGBRegressor,0.999916923917981,0.9944276415844749,0.09156616850955292,0.7621125595625223,0.06404886941568089,0.3764914962223597,1.633088237338804,0.1266334056854248,0.9708933090311287,0.0447631319673337,/home/bhargav/energy-consumption-new/models/experiments/learning_curves/learning_curve_XGBRegressor.png,Success
RandomForestRegressor,0.9993416587301396,0.992660033004163,0.2577641879311487,0.8746748739559596,0.13998599348534183,0.4259707792207841,1.8057010991818505,0.39853596687316895,0.9685701053514304,0.04829702754134477,/home/bhargav/energy-consumption-new/models/experiments/learning_curves/learning_curve_RandomForestRegressor.png,Success
GradientBoostingRegressor,0.9962047119710778,0.9919922137021389,0.6188984699985571,0.9135994614361596,0.4304742738450582,0.5970623028859507,2.542241087593642,0.15308260917663574,0.9702760754605819,0.040071101771048646,/home/bhargav/energy-consumption-new/models/experiments/learning_curves/learning_curve_GradientBoostingRegressor.png,Success
Ridge,0.9703736652334624,0.9636726916314065,1.729163269217484,1.945880687427225,1.1833494330634695,1.377145182185529,6.259947341847304,0.020588397979736328,0.9592076472037924,0.022821370949821392,/home/bhargav/energy-consumption-new/models/experiments/learning_curves/learning_curve_Ridge.png,Success
Lasso,0.9440000785848628,0.940150389741769,2.3773369886173334,2.4976424142527813,1.8678994406948084,2.045239099417475,10.231915115755868,0.023256778717041016,0.9421288579237951,0.03936593051333271,/home/bhargav/energy-consumption-new/models/experiments/learning_curves/learning_curve_Lasso.png,Success
